blcok,label,trt,year,AGB
1209,CONTROL1,CONTROL,2019,76.84
1209,CONTROL2,CONTROL,2019,83.54
1209,T2D,10m strip,2019,19.91
1209,T2C,10m strip,2019,70.59
1209,T3B,15m strip,2019,70.23
1209,T3C,15m strip,2019,66.69
1209,T4B,20m strip,2019,93.47
1209,T4C,20m strip,2019,89.57
1210,CONTROL1,CONTROL,2019,48.21
1210,CONTROL2,CONTROL,2019,23.06
1210,T2I,10m strip,2019,20.47
1210,T2J,10m strip,2019,30.34
1210,T3D,15m strip,2019,24.21
1210,T3E,15m strip,2019,44.84
1210,T4D,20m strip,2019,62.65
1210,T4E,20m strip,2019,47.14
1212,CONTROL1,CONTROL,2019,24.04
1212,CONTROL2,CONTROL,2019,27.84
1212,T2F,10m strip,2019,15.04
1212,T2G,10m strip,2019,32.54
1212,T3D,15m strip,2019,23.46
1212,T3E,15m strip,2019,10.07
1212,T4A,20m strip,2019,69.07
1212,T4B,20m strip,2019,58.3
1209,CONTROL1,CONTROL,2020,14.994
1209,CONTROL2,CONTROL,2020,27.056
1209,T2D,10m strip,2020,12.978
1209,T2C,10m strip,2020,20.336
1209,T3B,15m strip,2020,45.688
1209,T3C,15m strip,2020,35.42
1209,T4B,20m strip,2020,55.742
1209,T4C,20m strip,2020,44.012
1210,CONTROL1,CONTROL,2020,11.1605
1210,CONTROL2,CONTROL,2020,18.754
1210,T2I,10m strip,2020,23.924
1210,T2J,10m strip,2020,14.644
1210,T3D,15m strip,2020,29.784
1210,T3E,15m strip,2020,18.576
1210,T4D,20m strip,2020,23.858
1210,T4E,20m strip,2020,38.238
1212,CONTROL1,CONTROL,2020,23.104
1212,CONTROL2,CONTROL,2020,8.572
1212,T2F,10m strip,2020,6.48
1212,T2G,10m strip,2020,7.868
1212,T3D,15m strip,2020,15.14
1212,T3E,15m strip,2020,10.46
1212,T4A,20m strip,2020,21.228
1212,T4B,20m strip,2020,20.184
